Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Lead_Time,Total Nights,Checkin_Month,Checkin_Day_of_Week,Is_Weekend,Total_Guests
39428300,F,40,Latino,Grad,<25K,North,City Hotel,2015-07-01,2015-07-02,2015-05-21,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,10,218,41,1,7,2,0,4
77222321,F,62,Latino,High-School,25K --50K,East,Resort,2015-07-03,2015-07-04,2015-06-20,1,1,0,BB,No,No,No Deposit,Direct,No,Check-Out,Yes,10,242,13,1,7,4,0,2
7647912,M,40,Latino,Mid-School,>100K,North,City Hotel,2015-07-03,2015-07-04,2015-06-25,2,1,0,FB,No,No,No Deposit,Online,Yes,Check-Out,No,0,170,8,1,7,4,0,3
94296865,M,59,African American,Mid-School,>100K,West,Resort,2015-05-06,2015-05-07,2015-02-11,3,2,0,BB,No,No,Non-Refundable,Direct,Yes,Check-Out,Yes,10,245,84,1,5,2,0,5
93087487,M,21,Latino,Grad,50K -- 100K,West,City Hotel,2015-04-22,2015-04-25,2015-02-09,2,3,0,HB,Yes,No,Refundable,Online,No,Check-Out,Yes,20,212,72,3,4,2,0,5
21683013,M,69,African American,High-School,<25K,South,City Hotel,2015-06-23,2015-06-26,2015-06-03,1,3,0,BB,No,No,Non-Refundable,Online,No,Check-Out,No,0,106,20,3,6,1,0,4
27295370,M,55,caucasian,College,25K --50K,North,City Hotel,2015-07-05,2015-07-06,2015-04-29,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-Out,No,0,145,67,1,7,6,1,3
84744933,F,42,Asian American,Grad,<25K,East,Airport Hotels,2015-07-05,2015-07-09,2015-06-21,1,2,0,HB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,25,180,14,4,7,6,1,3
79158038,F,69,African American,College,25K --50K,West,Airport Hotels,2015-07-05,2015-07-07,2015-05-31,1,2,2,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,15,246,35,2,7,6,1,5
99089071,F,22,Asian American,Grad,25K --50K,South,Resort,2015-07-05,2015-07-08,2015-06-01,1,2,0,BB,No,No,No Deposit,Agent,Yes,Check-Out,No,0,220,34,3,7,6,1,3
26323232,M,32,Asian American,Mid-School,<25K,South,Airport Hotels,2015-07-02,2015-07-03,2015-06-21,1,1,2,BB,Yes,No,No Deposit,Direct,No,Check-Out,No,0,182,11,1,7,3,0,4
13898482,M,62,Asian American,Mid-School,50K -- 100K,West,Airport Hotels,2015-07-05,2015-07-06,2015-06-29,1,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,234,6,1,7,6,1,2
37437329,M,22,African American,Grad,<25K,East,Resort,2015-07-06,2015-07-07,2015-05-31,1,3,2,BB,No,No,Refundable,Direct,Yes,Check-Out,Yes,10,118,36,1,7,0,0,6
42680944,F,62,caucasian,High-School,>100K,South,Resort,2015-07-07,2015-07-11,2015-04-30,1,2,0,BB,No,No,No Deposit,Agent,No,Check-Out,Yes,5,220,68,4,7,1,0,3
67286844,M,45,Asian American,High-School,25K --50K,East,Airport Hotels,2015-07-07,2015-07-08,2015-04-27,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,20,222,71,1,7,1,0,4
2579451,F,33,caucasian,Mid-School,50K -- 100K,South,City Hotel,2015-07-01,2015-07-03,2015-02-26,2,1,0,HB,No,No,No Deposit,Direct,Yes,Check-Out,Yes,10,101,125,2,7,2,0,3
17727805,M,32,Latino,College,<25K,South,City Hotel,2015-07-08,2015-07-09,2015-04-22,3,1,1,BB,Yes,No,No Deposit,Online,Yes,Check-Out,No,0,105,77,1,7,2,0,5
44808431,F,43,African American,College,<25K,South,City Hotel,2015-07-08,2015-07-09,2015-05-22,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,No,0,146,47,1,7,2,0,4
70317745,F,38,caucasian,High-School,25K --50K,West,City Hotel,2015-05-11,2015-05-12,2015-03-13,3,2,0,BB,No,No,Refundable,Agent,Yes,Check-Out,Yes,20,162,59,1,5,0,0,5
69306508,F,18,Asian American,High-School,<25K,East,City Hotel,2015-07-08,2015-07-09,2015-04-23,1,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-Out,Yes,10,129,76,1,7,2,0,3
65535117,M,66,Latino,College,50K -- 100K,South,Resort,2015-07-08,2015-07-10,2015-04-02,2,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,218,97,2,7,2,0,3
72188000,M,44,Latino,High-School,<25K,North,Airport Hotels,2015-07-15,2015-07-18,2015-03-22,2,1,0,BB,No,No,Refundable,Online,Yes,Check-Out,Yes,20,191,115,3,7,2,0,3
95959457,F,29,Asian American,Mid-School,25K --50K,South,Airport Hotels,2015-05-29,2015-05-30,2015-02-23,3,2,0,BB,No,No,Refundable,Online,Yes,Check-Out,No,0,173,95,1,5,4,0,5
97828465,F,48,caucasian,Mid-School,50K -- 100K,South,City Hotel,2015-05-19,2015-05-22,2015-04-07,3,2,1,BB,No,No,No Deposit,Online,Yes,Check-Out,Yes,5,103,42,3,5,1,0,6
70532206,F,43,Latino,College,50K -- 100K,East,Airport Hotels,2015-06-19,2015-06-20,2015-05-11,3,1,0,BB,No,No,No Deposit,Online,No,Check-Out,Yes,25,246,39,1,6,4,0,4
62860295,F,23,African American,High-School,50K -- 100K,North,City Hotel,2015-07-06,2015-07-07,2015-06-01,3,1,0,BB,Yes,No,No Deposit,Online,No,Check-Out,Yes,10,237,35,1,7,0,0,4
